node_id,mean_time_offset,n
326039,4.1983223487118,8345
326572,1.06001650748732,8481
326710,116.50746631055,8237
3274F4,109.636287122761,8317
327749,13.9670003707824,8091
3282EC,-0.0385999751768648,8057
328CCF,27.2663568108688,8391
328D0C,3.80433263452131,8586
328FAF,412.355670724358,8297
32909D,853.403907496013,2508
339BB0,-0.350030321406913,8245
339CAE,-1.28333333333333,120
33D76B,-0.841696844283497,7732
33DA3C,-4.18867924528302,7950
3648E1,0.684427222087673,8258
3765DD,0.675059101654846,8460
37824B,0.674212106053027,7996
379B89,0.59132736669608,7933
3B3B89,0.284169602721419,8231
3B3B8F,21.0967741935484,31
